Time,200-A-Real,200-B-Real,200-C-Real,200-A-Reactive,200-B-Reactive,200-C-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
Time,Refrigerator Real,Microwave-Real,Phone charger Real,Refrigerator Reactive,Microwave-Reactive,Phone charger Reactive,Dishwasher-Real,Disposal-Real,Laptop Charging-Real,Dishwasher-Reactive,Disposal-Reactive,Laptop Charging -Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 15:32:33.824039,87.33725739,573.1725464,2.968387127,0,1619.597046,-0.887442589,-11.00271893,124.7913818,44.61371613,-59.97024536,45.28381348,-16.4758606,"
",,,,,
 15:32:34.907132,87.27424622,575.7437744,3.069170475,0,1618.369751,-0.854495525,-7.349514961,148.7905731,43.98050308,-59.11930084,53.68350983,-15.67737293,"
",,,,,
 15:32:35.990144,87.1692276,576.6427002,2.975736141,0,1618.708252,-0.881065726,-11.00271893,126.185379,44.60260773,-59.85024261,44.80963898,-16.55458641,"
",,,,,
 15:32:37.73311,87.19023132,578.586792,3.074419498,0,1616.634399,-0.838022113,-7.489607811,127.066391,43.95828247,-59.02110672,45.31768417,-15.84606743,"
",,,,,
 15:32:38.157298,87.25324249,578.7540283,2.969961643,0,1616.846069,-0.868312061,-11.25057697,128.2485046,44.68037033,-60.23207855,45.79185867,-16.53209305,"
",,,,,
 15:32:39.240399,87.21122742,579.2138672,3.047124147,0,1614.877808,-0.846524537,-7.414173126,128.2262115,44.06937408,-59.21747971,45.7354126,-15.93603802,"
",,,,,
 15:32:40.326474,87.29524994,578.5449219,2.939517021,0,1614.539307,-0.891162396,-10.86262512,126.7652969,45.02474594,-60.00297165,45.1709137,-16.48710632,"
",,,,,
 15:32:41.409478,87.63132477,578.7957764,3.038725615,0,1612.274902,-0.859809697,-7.209420681,124.077652,44.2804451,-58.83564377,44.01934433,-15.85731316,"
",,,,,
 15:32:42.492471,87.65232849,578.2731934,2.926918984,0,1610.814575,-0.865655124,-7.069327354,114.185791,44.11380768,-58.72654343,39.55983353,-15.91354561,"
",,,,,
 15:32:43.575492,88.00941467,579.088501,2.936367512,0,1611.195557,-0.905510247,-11.07815361,112.8921509,45.05807114,-60.03570557,39.02920914,-16.30716515,"
",,,,,
 15:32:44.658611,88.21945953,580.3217773,3.050798893,0,1609.587158,-0.854495645,-7.629701138,113.1932602,43.95828629,-58.80291748,39.05178452,-16.03725433,"
",,,,,
 15:32:45.744320,88.17744446,581.157959,2.94319129,0,1609.926025,-0.90179044,-11.64930439,112.9478989,44.85811234,-60.27571487,38.92759705,-16.48710823,"
",,,,,
 15:32:46.826992,88.42950439,582.2868652,3.069170713,0,1607.301758,-0.848118782,-8.028429031,115.1783218,43.74721146,-59.21747971,39.87595367,-16.09348679,"
",,,,,
 15:32:47.910599,88.38749695,581.8687744,2.985709429,0,1607.428711,-0.883722782,-11.99414825,114.442276,44.94698334,-60.70119095,39.54854202,-16.44212151,"
",,,,,
 15:32:48.993228,88.55553436,581.8896484,3.092792034,0,1605.566406,-0.832176685,-7.985322475,113.9181366,43.66944504,-59.14111328,39.25500488,-16.17221069,"
",,,,,
 15:32:50.76695,88.63954163,581.3879395,2.974161148,0,1606.074219,-0.890099526,-11.73551464,116.5277252,44.86922073,-60.82119751,40.51947784,-16.41962814,"
",,,,,
