Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:47:43.90293,53.26769257,228.494873,-246.4753113,1125.045654,0,0,0,0,0,0,"
",,,,,
 14:47:44.168994,53.37733841,402.8773499,-246.3420868,1354.441162,0,0,0,0,0,0,"
",,,,,
 14:47:45.261201,53.44313431,641.0588989,-246.3865204,1515.029419,0,0,0,0,0,0,"
",,,,,
 14:47:46.337239,53.44312668,740.8336182,-246.0534973,1571.062622,0,0,0,0,0,0,"
",,,,,
 14:47:47.422061,53.3992691,741.4061279,-246.164505,1570.761353,0,0,0,0,0,0,"
",,,,,
 14:47:48.502389,53.33347702,741.65802,-245.875885,1570.459717,0,0,0,0,0,0,"
",,,,,
 14:47:49.569068,53.15804291,742.2991943,-245.8314667,1571.34082,0,0,0,0,0,0,"
",,,,,
 14:47:50.663011,53.07032394,741.6809082,-245.8981018,1572.012939,0,0,0,0,0,0,"
",,,,,
 14:47:51.743479,53.1361084,742.0701904,-245.5428772,1571.016235,0,0,0,0,0,0,"
",,,,,
 14:47:52.821050,53.04838943,742.2305298,-245.6316833,1570.251221,0,0,0,0,0,0,"
",,,,,
 14:47:53.890189,53.00453568,743.1236572,-245.4318542,1568.790649,0,0,0,0,0,0,"
",,,,,
 14:47:54.980465,52.98259735,742.5740967,-245.565094,1567.956055,0,0,0,0,0,0,"
",,,,,
 14:47:56.54698,52.91681671,743.3984375,-245.3874817,1566.681152,0,0,0,0,0,0,"
",,,,,
 14:47:57.135526,52.71944427,743.6274414,-245.4984589,1566.310181,0,0,0,0,0,0,"
",,,,,
 14:47:58.213792,52.71944427,744.4747314,-245.0988464,1565.939087,0,0,0,0,0,0,"
",,,,,
 14:47:59.303494,52.87294769,744.3831177,-245.3874817,1566.263672,0,0,0,0,0,0,"
",,,,,
 14:48:0.380205,52.47821808,745.9173584,-245.0766602,1566.240601,0,0,0,0,0,0,"
",,,,,
 14:48:1.453220,52.19312668,746.3982544,-245.1210632,1566.518799,0,0,0,0,0,0,"
",,,,,
 14:48:2.541946,51.82032013,747.8409424,-245.1432648,1564.988647,0,0,0,0,0,0,"
",,,,,
